County,Total_Workers,Car_Alone,Carpool,Public_Transit,Car_Total,Car_Share,Transit_Share,Car_Cost,Transit_Cost,Weighted_Transportation_Cost
"Chautauqua County, Kansas",1356,1121,22,126,1143,0.8429,0.0929,9000,900,7669.71
"Cherokee County, Kansas",9058,7637,342,676,7979,0.8809,0.0746,9000,900,7995.24
"Cheyenne County, Kansas",1234,920,58,43,978,0.7925,0.0348,9000,900,7163.82
"Clark County, Kansas",923,686,25,77,711,0.7703,0.0834,9000,900,7007.76
"Clay County, Kansas",3696,2885,127,409,3012,0.8149,0.1107,9000,900,7433.73
"Cloud County, Kansas",4094,3410,201,330,3611,0.882,0.0806,9000,900,8010.54
"Coffey County, Kansas",3732,3121,185,348,3306,0.8859,0.0932,9000,900,8056.98
"Comanche County, Kansas",821,705,28,35,733,0.8928,0.0426,9000,900,8073.54
"Cowley County, Kansas",15009,11874,811,1830,12685,0.8452,0.1219,9000,900,7716.51
"Crawford County, Kansas",19215,15413,931,1994,16344,0.8506,0.1038,9000,900,7748.82
"Decatur County, Kansas",1366,886,18,67,904,0.6618,0.049,9000,900,6000.3
"Dickinson County, Kansas",8903,7086,248,747,7334,0.8238,0.0839,9000,900,7489.71
"Doniphan County, Kansas",3687,2963,134,299,3097,0.84,0.0811,9000,900,7632.99
"Douglas County, Kansas",65386,45741,2135,4742,47876,0.7322,0.0725,9000,900,6655.05
"Edwards County, Kansas",1262,994,45,123,1039,0.8233,0.0975,9000,900,7497.45
"Elk County, Kansas",962,729,19,113,748,0.7775,0.1175,9000,900,7103.25
"Ellis County, Kansas",16274,13096,969,935,14065,0.8643,0.0575,9000,900,7830.45
"Ellsworth County, Kansas",2688,2223,107,199,2330,0.8668,0.074,9000,900,7867.8
"Finney County, Kansas",18286,14686,919,2737,15605,0.8534,0.1497,9000,900,7815.33
"Ford County, Kansas",16463,13441,542,2313,13983,0.8494,0.1405,9000,900,7771.05
"Franklin County, Kansas",13069,10100,425,1129,10525,0.8053,0.0864,9000,900,7325.46
"Geary County, Kansas",17219,13051,415,1911,13466,0.782,0.111,9000,900,7137.9
"Gove County, Kansas",1340,1014,39,83,1053,0.7858,0.0619,9000,900,7127.91
"Graham County, Kansas",1148,911,22,38,933,0.8127,0.0331,9000,900,7344.09
"Grant County, Kansas",3517,2791,311,488,3102,0.882,0.1388,9000,900,8062.92
"Gray County, Kansas",2810,2368,88,235,2456,0.874,0.0836,9000,900,7941.24
"Greeley County, Kansas",678,411,6,54,417,0.615,0.0796,9000,900,5606.64
"Greenwood County, Kansas",2790,2198,80,308,2278,0.8165,0.1104,9000,900,7447.86
"Hamilton County, Kansas",1157,770,74,198,844,0.7295,0.1711,9000,900,6719.49
"Harper County, Kansas",2221,1750,96,174,1846,0.8312,0.0783,9000,900,7551.27
"Harvey County, Kansas",16371,12864,573,1257,13437,0.8208,0.0768,9000,900,7456.32
"Haskell County, Kansas",1646,1246,37,191,1283,0.7795,0.116,9000,900,7119.9
"Hodgeman County, Kansas",820,684,36,46,720,0.878,0.0561,9000,900,7952.49
"Jackson County, Kansas",6410,4823,309,826,5132,0.8006,0.1289,9000,900,7321.41
"Jefferson County, Kansas",9171,7139,296,939,7435,0.8107,0.1024,9000,900,7388.46
"Jewell County, Kansas",1345,1014,24,129,1038,0.7717,0.0959,9000,900,7031.61
"Johnson County, Kansas",331887,239782,11656,18772,251438,0.7576,0.0566,9000,900,6869.34
"Kearny County, Kansas",1728,1333,54,219,1387,0.8027,0.1267,9000,900,7338.33
"Kingman County, Kansas",3558,2969,97,340,3066,0.8617,0.0956,9000,900,7841.34
"Kiowa County, Kansas",1224,934,58,70,992,0.8105,0.0572,9000,900,7345.98
"Labette County, Kansas",8929,6793,262,1233,7055,0.7901,0.1381,9000,900,7235.19
"Lane County, Kansas",723,508,7,55,515,0.7123,0.0761,9000,900,6479.19
"Leavenworth County, Kansas",37183,29155,1215,2957,30370,0.8168,0.0795,9000,900,7422.75
"Lincoln County, Kansas",1447,1119,58,143,1177,0.8134,0.0988,9000,900,7409.52
"Linn County, Kansas",4288,3367,205,347,3572,0.833,0.0809,9000,900,7569.81
"Logan County, Kansas",1430,1123,65,67,1188,0.8308,0.0469,9000,900,7519.41
"Lyon County, Kansas",16401,12570,729,1871,13299,0.8109,0.1141,9000,900,7400.79
"McPherson County, Kansas",15819,12752,749,1157,13501,0.8535,0.0731,9000,900,7747.29
"Marion County, Kansas",5621,4232,235,471,4467,0.7947,0.0838,9000,900,7227.72
"Marshall County, Kansas",4893,3759,181,594,3940,0.8052,0.1214,9000,900,7356.06
"Meade County, Kansas",1857,1461,24,205,1485,0.7997,0.1104,9000,900,7296.66
"Miami County, Kansas",17239,13357,484,1403,13841,0.8029,0.0814,9000,900,7299.36
"Mitchell County, Kansas",2680,2094,149,182,2243,0.8369,0.0679,9000,900,7593.21
"Montgomery County, Kansas",13284,10717,480,1337,11197,0.8429,0.1006,9000,900,7676.64
"Morris County, Kansas",2693,2234,69,210,2303,0.8552,0.078,9000,900,7767
"Morton County, Kansas",1094,945,19,39,964,0.8812,0.0356,9000,900,7962.84
"Nemaha County, Kansas",4974,4180,250,356,4430,0.8906,0.0716,9000,900,8079.84
"Neosho County, Kansas",7030,5391,206,914,5597,0.7962,0.13,9000,900,7282.8
"Ness County, Kansas",1417,1040,47,170,1087,0.7671,0.12,9000,900,7011.9
"Norton County, Kansas",1968,1455,88,51,1543,0.784,0.0259,9000,900,7079.31
"Osage County, Kansas",7437,5679,228,890,5907,0.7943,0.1197,9000,900,7256.43
"Osborne County, Kansas",1757,1361,87,172,1448,0.8241,0.0979,9000,900,7505.01
"Ottawa County, Kansas",2832,2240,87,185,2327,0.8217,0.0653,9000,900,7454.07
"Pawnee County, Kansas",2824,1963,145,352,2108,0.7465,0.1246,9000,900,6830.64
"Phillips County, Kansas",2238,1833,118,216,1951,0.8718,0.0965,9000,900,7933.05
"Pottawatomie County, Kansas",12468,9981,457,1232,10438,0.8372,0.0988,9000,900,7623.72
"Pratt County, Kansas",4177,3368,212,228,3580,0.8571,0.0546,9000,900,7763.04
"Rawlins County, Kansas",1315,919,52,160,971,0.7384,0.1217,9000,900,6755.13
"Reno County, Kansas",28474,23522,1469,2389,24991,0.8777,0.0839,9000,900,7974.81
"Republic County, Kansas",2128,1673,64,227,1737,0.8163,0.1067,9000,900,7442.73
"Rice County, Kansas",4388,3363,133,493,3496,0.7967,0.1124,9000,900,7271.46
"Riley County, Kansas",40907,26303,1437,3904,27740,0.6781,0.0954,9000,900,6188.76
"Rooks County, Kansas",2388,2019,128,174,2147,0.8991,0.0729,9000,900,8157.51
"Rush County, Kansas",1393,1089,24,99,1113,0.799,0.0711,9000,900,7254.99
"Russell County, Kansas",3382,2679,284,380,2963,0.8761,0.1124,9000,900,7986.06
"Saline County, Kansas",26889,21277,732,2830,22009,0.8185,0.1052,9000,900,7461.18
"Scott County, Kansas",2423,2182,89,100,2271,0.9373,0.0413,9000,900,8472.87
"Sedgwick County, Kansas",250922,202193,8654,22419,210847,0.8403,0.0893,9000,900,7643.07
"Seward County, Kansas",10219,7895,540,1662,8435,0.8254,0.1626,9000,900,7574.94
"Shawnee County, Kansas",83750,65371,3305,7281,68676,0.82,0.0869,9000,900,7458.21
"Sheridan County, Kansas",1282,866,30,89,896,0.6989,0.0694,9000,900,6352.56
"Sherman County, Kansas",3076,2316,182,171,2498,0.8121,0.0556,9000,900,7358.94
"Smith County, Kansas",1708,1365,27,170,1392,0.815,0.0995,9000,900,7424.55
"Stafford County, Kansas",1940,1493,93,195,1586,0.8175,0.1005,9000,900,7447.95
"Stanton County, Kansas",912,723,39,92,762,0.8355,0.1009,9000,900,7610.31
"Stevens County, Kansas",2280,1806,122,289,1928,0.8456,0.1268,9000,900,7724.52
"Sumner County, Kansas",9817,8101,302,644,8403,0.856,0.0656,9000,900,7763.04
"Thomas County, Kansas",4166,3406,204,257,3610,0.8665,0.0617,9000,900,7854.03
"Trego County, Kansas",1454,1124,24,167,1148,0.7895,0.1149,9000,900,7208.91
"Wabaunsee County, Kansas",3231,2434,120,282,2554,0.7905,0.0873,9000,900,7193.07
"Wallace County, Kansas",699,526,10,52,536,0.7668,0.0744,9000,900,6968.16
"Washington County, Kansas",2565,2037,63,197,2100,0.8187,0.0768,9000,900,7437.42
"Wichita County, Kansas",940,637,13,153,650,0.6915,0.1628,9000,900,6370.02
"Wilson County, Kansas",3854,3153,130,384,3283,0.8518,0.0996,9000,900,7755.84
"Woodson County, Kansas",1253,1024,6,100,1030,0.822,0.0798,9000,900,7469.82
"Wyandotte County, Kansas",76945,58473,3014,9230,61487,0.7991,0.12,9000,900,7299.9
"Adair County, Kentucky",7481,5628,290,772,5918,0.7911,0.1032,9000,900,7212.78
"Allen County, Kentucky",8770,6518,136,1007,6654,0.7587,0.1148,9000,900,6931.62
"Anderson County, Kentucky",11118,9076,209,844,9285,0.8351,0.0759,9000,900,7584.21
"Ballard County, Kentucky",3327,2915,132,212,3047,0.9158,0.0637,9000,900,8299.53
"Barren County, Kentucky",18076,13893,577,2331,14470,0.8005,0.129,9000,900,7320.6
"Bath County, Kentucky",4764,4007,109,485,4116,0.864,0.1018,9000,900,7867.62
"Bell County, Kentucky",6846,5014,195,1248,5209,0.7609,0.1823,9000,900,7012.17
"Boone County, Kentucky",69398,53913,2373,5720,56286,0.8111,0.0824,9000,900,7374.06
"Bourbon County, Kentucky",8896,6818,185,876,7003,0.7872,0.0985,9000,900,7173.45
"Boyd County, Kentucky",18927,15320,456,1940,15776,0.8335,0.1025,9000,900,7593.75
"Boyle County, Kentucky",12490,9892,263,981,10155,0.8131,0.0785,9000,900,7388.55
"Bracken County, Kentucky",3601,2880,151,524,3031,0.8417,0.1455,9000,900,7706.25
"Breathitt County, Kentucky",4528,3522,39,616,3561,0.7864,0.136,9000,900,7200
"Breckinridge County, Kentucky",8030,6566,298,682,6864,0.8548,0.0849,9000,900,7769.61
"Bullitt County, Kentucky",41553,33527,1257,3724,34784,0.8371,0.0896,9000,900,7614.54
"Butler County, Kentucky",4758,3961,173,575,4134,0.8689,0.1208,9000,900,7928.82
"Caldwell County, Kentucky",5387,4352,84,603,4436,0.8235,0.1119,9000,900,7512.21
"Calloway County, Kentucky",17237,13385,357,1458,13742,0.7972,0.0846,9000,900,7250.94
"Campbell County, Kentucky",47691,34989,1572,3526,36561,0.7666,0.0739,9000,900,6965.91
"Carlisle County, Kentucky",2004,1730,49,137,1779,0.8877,0.0684,9000,900,8050.86
"Carroll County, Kentucky",4259,3393,64,373,3457,0.8117,0.0876,9000,900,7384.14
"Carter County, Kentucky",9421,7635,193,1143,7828,0.8309,0.1213,9000,900,7587.27
"Casey County, Kentucky",5325,4060,273,644,4333,0.8137,0.1209,9000,900,7432.11
"Christian County, Kentucky",30309,23087,879,3031,23966,0.7907,0.1,9000,900,7206.3
"Clark County, Kentucky",16458,13128,386,1325,13514,0.8211,0.0805,9000,900,7462.35
"Clay County, Kentucky",6265,4793,135,848,4928,0.7866,0.1354,9000,900,7201.26
"Clinton County, Kentucky",3846,3221,95,340,3316,0.8622,0.0884,9000,900,7839.36
"Crittenden County, Kentucky",3381,2458,99,628,2557,0.7563,0.1857,9000,900,6973.83
"Cumberland County, Kentucky",2001,1599,58,261,1657,0.8281,0.1304,9000,900,7570.26
"Daviess County, Kentucky",46913,39374,1523,3760,40897,0.8718,0.0801,9000,900,7918.29
"Edmonson County, Kentucky",4602,3756,173,462,3929,0.8538,0.1004,9000,900,7774.56
"Elliott County, Kentucky",1859,1465,61,226,1526,0.8209,0.1216,9000,900,7497.54
"Estill County, Kentucky",4899,3616,73,832,3689,0.753,0.1698,9000,900,6929.82
"Fayette County, Kentucky",164357,123002,3979,13744,126981,0.7726,0.0836,9000,900,7028.64
"Fleming County, Kentucky",5834,4822,145,608,4967,0.8514,0.1042,9000,900,7756.38
"Floyd County, Kentucky",11196,9594,218,1066,9812,0.8764,0.0952,9000,900,7973.28
"Franklin County, Kentucky",23955,17747,692,2170,18439,0.7697,0.0906,9000,900,7008.84
"Fulton County, Kentucky",2066,1580,19,289,1599,0.774,0.1399,9000,900,7091.91
"Gallatin County, Kentucky",3945,3175,99,530,3274,0.8299,0.1343,9000,900,7589.97
"Garrard County, Kentucky",7276,5660,128,701,5788,0.7955,0.0963,9000,900,7246.17
"Grant County, Kentucky",11488,9150,598,1141,9748,0.8485,0.0993,9000,900,7725.87
"Graves County, Kentucky",14949,12348,657,1058,13005,0.87,0.0708,9000,900,7893.72
"Grayson County, Kentucky",10799,8615,516,1313,9131,0.8455,0.1216,9000,900,7718.94
"Green County, Kentucky",4248,3344,146,466,3490,0.8216,0.1097,9000,900,7493.13
"Greenup County, Kentucky",13467,11256,244,1203,11500,0.8539,0.0893,9000,900,7765.47
"Hancock County, Kentucky",3941,3363,145,423,3508,0.8901,0.1073,9000,900,8107.47
"Hardin County, Kentucky",50487,39443,1104,4650,40547,0.8031,0.0921,9000,900,7310.79
"Harlan County, Kentucky",7250,5427,125,1214,5552,0.7658,0.1674,9000,900,7042.86
"Harrison County, Kentucky",8333,6716,194,824,6910,0.8292,0.0989,9000,900,7551.81
"Hart County, Kentucky",7582,5908,218,1119,6126,0.808,0.1476,9000,900,7404.84
"Henderson County, Kentucky",19304,15473,549,2237,16022,0.83,0.1159,9000,900,7574.31
"Henry County, Kentucky",6869,5227,276,913,5503,0.8011,0.1329,9000,900,7329.51
"Hickman County, Kentucky",1820,1313,19,140,1332,0.7319,0.0769,9000,900,6656.31
"Hopkins County, Kentucky",18044,16055,701,1105,16756,0.9286,0.0612,9000,900,8412.48
"Jackson County, Kentucky",4216,3312,49,450,3361,0.7972,0.1067,9000,900,7270.83
"Jefferson County, Kentucky",381771,281477,8504,31808,289981,0.7596,0.0833,9000,900,6911.37
"Jessamine County, Kentucky",25205,19386,582,2607,19968,0.7922,0.1034,9000,900,7222.86
"Johnson County, Kentucky",7415,6087,113,624,6200,0.8361,0.0842,9000,900,7600.68
"Kenton County, Kentucky",87962,66473,2507,6393,68980,0.7842,0.0727,9000,900,7123.23
"Knott County, Kentucky",4196,3132,127,437,3259,0.7767,0.1041,9000,900,7083.99
"Knox County, Kentucky",8605,6722,146,810,6868,0.7981,0.0941,9000,900,7267.59
"Larue County, Kentucky",6633,5641,269,471,5910,0.891,0.071,9000,900,8082.9
"Laurel County, Kentucky",26007,20102,845,3414,20947,0.8054,0.1313,9000,900,7366.77
"Lawrence County, Kentucky",5050,4342,96,429,4438,0.8788,0.085,9000,900,7985.7
"Lee County, Kentucky",2314,1741,99,301,1840,0.7952,0.1301,9000,900,7273.89
"Leslie County, Kentucky",3372,2915,70,281,2985,0.8852,0.0833,9000,900,8041.77
"Letcher County, Kentucky",6833,5047,248,949,5295,0.7749,0.1389,9000,900,7099.11
"Lewis County, Kentucky",4141,3207,113,433,3320,0.8017,0.1046,9000,900,7309.44
"Lincoln County, Kentucky",9312,7531,144,648,7675,0.8242,0.0696,9000,900,7480.44
"Livingston County, Kentucky",3820,2905,102,511,3007,0.7872,0.1338,9000,900,7205.22
"Logan County, Kentucky",11420,9823,286,992,10109,0.8852,0.0869,9000,900,8045.01
"Lyon County, Kentucky",3029,2660,248,142,2908,0.9601,0.0469,9000,900,8683.11
"McCracken County, Kentucky",29779,24848,1246,1728,26094,0.8763,0.058,9000,900,7938.9
"McCreary County, Kentucky",4682,3682,176,541,3858,0.824,0.1155,9000,900,7519.95
"McLean County, Kentucky",3699,3174,100,252,3274,0.8851,0.0681,9000,900,8027.19
"Madison County, Kentucky",44327,34474,1285,4135,35759,0.8067,0.0933,9000,900,7344.27
"Magoffin County, Kentucky",2891,2283,105,436,2388,0.826,0.1508,9000,900,7569.72
"Marion County, Kentucky",7691,6787,177,508,6964,0.9055,0.0661,9000,900,8208.99
"Marshall County, Kentucky",13579,10694,381,1539,11075,0.8156,0.1133,9000,900,7442.37
"Martin County, Kentucky",2839,2506,41,212,2547,0.8971,0.0747,9000,900,8141.13
"Mason County, Kentucky",7156,6188,245,314,6433,0.899,0.0439,9000,900,8130.51
"Meade County, Kentucky",13889,11319,385,1030,11704,0.8427,0.0742,9000,900,7651.08
"Menifee County, Kentucky",2240,1846,125,156,1971,0.8799,0.0696,9000,900,7981.74
"Mercer County, Kentucky",10159,8050,286,1134,8336,0.8206,0.1116,9000,900,7485.84
"Metcalfe County, Kentucky",4096,3316,149,421,3465,0.8459,0.1028,9000,900,7705.62
"Monroe County, Kentucky",4850,3952,156,520,4108,0.847,0.1072,9000,900,7719.48
"Montgomery County, Kentucky",12118,10076,458,991,10534,0.8693,0.0818,9000,900,7897.32
"Morgan County, Kentucky",4333,3461,148,505,3609,0.8329,0.1165,9000,900,7600.95
"Muhlenberg County, Kentucky",11926,10683,479,633,11162,0.9359,0.0531,9000,900,8470.89
"Nelson County, Kentucky",22065,18665,828,1513,19493,0.8834,0.0686,9000,900,8012.34
"Nicholas County, Kentucky",2973,2460,83,298,2543,0.8554,0.1002,9000,900,7788.78
"Ohio County, Kentucky",9317,7808,515,949,8323,0.8933,0.1019,9000,900,8131.41
"Oldham County, Kentucky",32970,24656,1210,2624,25866,0.7845,0.0796,9000,900,7132.14
"Owen County, Kentucky",4927,3562,168,624,3730,0.7571,0.1266,9000,900,6927.84
"Owsley County, Kentucky",1224,989,20,69,1009,0.8243,0.0564,9000,900,7469.46
"Pendleton County, Kentucky",6672,5331,150,611,5481,0.8215,0.0916,9000,900,7475.94
"Perry County, Kentucky",9743,7124,222,1606,7346,0.754,0.1648,9000,900,6934.32
"Pike County, Kentucky",18808,15160,594,2183,15754,0.8376,0.1161,9000,900,7642.89
"Powell County, Kentucky",4673,4147,192,259,4339,0.9285,0.0554,9000,900,8406.36
"Pulaski County, Kentucky",25992,21461,1032,2756,22493,0.8654,0.106,9000,900,7884
"Robertson County, Kentucky",677,602,21,57,623,0.9202,0.0842,9000,900,8357.58
"Rockcastle County, Kentucky",5785,4634,103,507,4737,0.8188,0.0876,9000,900,7448.04
"Rowan County, Kentucky",10723,8063,412,964,8475,0.7904,0.0899,9000,900,7194.51
"Russell County, Kentucky",7080,6040,276,565,6316,0.8921,0.0798,9000,900,8100.72
"Scott County, Kentucky",28670,22665,751,2815,23416,0.8167,0.0982,9000,900,7438.68
"Shelby County, Kentucky",24056,18103,691,2692,18794,0.7813,0.1119,9000,900,7132.41
"Simpson County, Kentucky",8753,6955,97,1117,7052,0.8057,0.1276,9000,900,7366.14
"Spencer County, Kentucky",9379,7818,348,384,8166,0.8707,0.0409,9000,900,7873.11
"Taylor County, Kentucky",11934,9027,504,1062,9531,0.7986,0.089,9000,900,7267.5
"Todd County, Kentucky",5052,3757,191,567,3948,0.7815,0.1122,9000,900,7134.48
"Trigg County, Kentucky",5510,4141,131,633,4272,0.7753,0.1149,9000,900,7081.11
"Trimble County, Kentucky",3530,2648,74,542,2722,0.7711,0.1535,9000,900,7078.05
"Union County, Kentucky",5556,4618,74,442,4692,0.8445,0.0796,9000,900,7672.14
"Warren County, Kentucky",67326,53034,2592,7218,55626,0.8262,0.1072,9000,900,7532.28
"Washington County, Kentucky",5545,4412,75,556,4487,0.8092,0.1003,9000,900,7373.07
"Wayne County, Kentucky",6899,5307,250,784,5557,0.8055,0.1136,9000,900,7351.74
"Webster County, Kentucky",5271,4356,250,667,4606,0.8738,0.1265,9000,900,7978.05
"Whitley County, Kentucky",13313,10071,545,1793,10616,0.7974,0.1347,9000,900,7297.83
"Wolfe County, Kentucky",1461,1091,41,226,1132,0.7748,0.1547,9000,900,7112.43
"Woodford County, Kentucky",13634,10750,595,829,11345,0.8321,0.0608,9000,900,7543.62
"Acadia Parish, Louisiana",22400,18842,1159,1821,20001,0.8929,0.0813,9000,900,8109.27
"Allen Parish, Louisiana",7459,6204,240,467,6444,0.8639,0.0626,9000,900,7831.44
"Ascension Parish, Louisiana",62911,52489,1811,4773,54300,0.8631,0.0759,9000,900,7836.21
"Assumption Parish, Louisiana",8768,7514,371,674,7885,0.8993,0.0769,9000,900,8162.91
"Avoyelles Parish, Louisiana",14012,11661,403,1081,12064,0.861,0.0771,9000,900,7818.39
"Beauregard Parish, Louisiana",14312,11904,241,1565,12145,0.8486,0.1093,9000,900,7735.77
"Bienville Parish, Louisiana",4318,3526,99,348,3625,0.8395,0.0806,9000,900,7628.04
"Bossier Parish, Louisiana",57890,48314,1307,3581,49621,0.8572,0.0619,9000,900,7770.51
"Caddo Parish, Louisiana",93916,75922,1639,8940,77561,0.8259,0.0952,9000,900,7518.78
"Calcasieu Parish, Louisiana",90481,74720,2315,8337,77035,0.8514,0.0921,9000,900,7745.49
"Caldwell Parish, Louisiana",3406,2953,53,106,3006,0.8826,0.0311,9000,900,7971.39
"Cameron Parish, Louisiana",2182,1941,4,196,1945,0.8914,0.0898,9000,900,8103.42
"Catahoula Parish, Louisiana",2766,2154,0,227,2154,0.7787,0.0821,9000,900,7082.19
"Claiborne Parish, Louisiana",3874,3312,39,376,3351,0.865,0.0971,9000,900,7872.39
"Concordia Parish, Louisiana",5335,4632,26,169,4658,0.8731,0.0317,9000,900,7886.43
"De Soto Parish, Louisiana",10016,8281,196,896,8477,0.8463,0.0895,9000,900,7697.25
"East Baton Rouge Parish, Louisiana",208764,164213,5538,20225,169751,0.8131,0.0969,9000,900,7405.11
"East Carroll Parish, Louisiana",1834,1433,31,223,1464,0.7983,0.1216,9000,900,7294.14
"East Feliciana Parish, Louisiana",6803,5875,91,387,5966,0.877,0.0569,9000,900,7944.21
"Evangeline Parish, Louisiana",11443,9282,266,957,9548,0.8344,0.0836,9000,900,7584.84
"Franklin Parish, Louisiana",6620,5303,119,502,5422,0.819,0.0758,9000,900,7439.22
"Grant Parish, Louisiana",7874,7104,313,327,7417,0.942,0.0415,9000,900,8515.35
"Iberia Parish, Louisiana",27592,22887,524,1840,23411,0.8485,0.0667,9000,900,7696.53
"Iberville Parish, Louisiana",11821,9786,227,1109,10013,0.8471,0.0938,9000,900,7708.32
"Jackson Parish, Louisiana",4964,4189,51,260,4240,0.8541,0.0524,9000,900,7734.06
"Jefferson Parish, Louisiana",201372,155689,2792,22648,158481,0.787,0.1125,9000,900,7184.25
"Jefferson Davis Parish, Louisiana",13065,10987,287,1191,11274,0.8629,0.0912,9000,900,7848.18
"Lafayette Parish, Louisiana",117265,95951,2410,6336,98361,0.8388,0.054,9000,900,7597.8
"Lafourche Parish, Louisiana",40994,33107,1234,4072,34341,0.8377,0.0993,9000,900,7628.67
"LaSalle Parish, Louisiana",6072,4395,73,933,4468,0.7358,0.1537,9000,900,6760.53
"Lincoln Parish, Louisiana",20176,15589,594,1815,16183,0.8021,0.09,9000,900,7299.9
"Livingston Parish, Louisiana",65195,54954,2078,5310,57032,0.8748,0.0814,9000,900,7946.46
"Madison Parish, Louisiana",2905,2431,92,274,2523,0.8685,0.0943,9000,900,7901.37
"Morehouse Parish, Louisiana",9038,7540,143,783,7683,0.8501,0.0866,9000,900,7728.84
"Natchitoches Parish, Louisiana",14679,12185,457,1363,12642,0.8612,0.0929,9000,900,7834.41
"Orleans Parish, Louisiana",171094,108121,1583,14942,109704,0.6412,0.0873,9000,900,5849.37
"Ouachita Parish, Louisiana",67262,54009,1234,6086,55243,0.8213,0.0905,9000,900,7473.15
"Plaquemines Parish, Louisiana",10678,8841,391,1109,9232,0.8646,0.1039,9000,900,7874.91
"Pointe Coupee Parish, Louisiana",8064,7143,228,319,7371,0.9141,0.0396,9000,900,8262.54
"Rapides Parish, Louisiana",53718,42844,1072,3634,43916,0.8175,0.0676,9000,900,7418.34
"Red River Parish, Louisiana",2745,2501,234,102,2735,0.9964,0.0372,9000,900,9001.08
"Richland Parish, Louisiana",7532,6035,150,855,6185,0.8212,0.1135,9000,900,7492.95
"Sabine Parish, Louisiana",7564,5680,247,1114,5927,0.7836,0.1473,9000,900,7184.97
"St. Bernard Parish, Louisiana",18277,14712,258,1731,14970,0.8191,0.0947,9000,900,7457.13
"St. Charles Parish, Louisiana",24277,20318,568,1407,20886,0.8603,0.058,9000,900,7794.9
"St. Helena Parish, Louisiana",3658,2909,81,325,2990,0.8174,0.0888,9000,900,7436.52
"St. James Parish, Louisiana",8574,7209,312,592,7521,0.8772,0.069,9000,900,7956.9
"St. John the Baptist Parish, Louisiana",17590,14903,484,1358,15387,0.8748,0.0772,9000,900,7942.68
"St. Landry Parish, Louisiana",30347,24175,913,2949,25088,0.8267,0.0972,9000,900,7527.78
"St. Martin Parish, Louisiana",22435,19018,789,1476,19807,0.8829,0.0658,9000,900,8005.32
"St. Mary Parish, Louisiana",19218,16160,423,1567,16583,0.8629,0.0815,9000,900,7839.45
"St. Tammany Parish, Louisiana",123646,95744,3049,9440,98793,0.799,0.0763,9000,900,7259.67
"Tangipahoa Parish, Louisiana",57218,46762,1770,4908,48532,0.8482,0.0858,9000,900,7711.02
"Tensas Parish, Louisiana",1177,1011,9,91,1020,0.8666,0.0773,9000,900,7868.97
"Terrebonne Parish, Louisiana",45459,36811,1270,5106,38081,0.8377,0.1123,9000,900,7640.37
"Union Parish, Louisiana",7695,6563,219,660,6782,0.8814,0.0858,9000,900,8009.82
"Vermilion Parish, Louisiana",23206,18847,748,2045,19595,0.8444,0.0881,9000,900,7678.89
"Vernon Parish, Louisiana",20585,16650,390,1733,17040,0.8278,0.0842,9000,900,7525.98
"Washington Parish, Louisiana",15702,11839,238,1731,12077,0.7691,0.1102,9000,900,7021.08
"Webster Parish, Louisiana",12662,10652,240,754,10892,0.8602,0.0595,9000,900,7795.35
"West Baton Rouge Parish, Louisiana",12777,10787,205,1123,10992,0.8603,0.0879,9000,900,7821.81
"West Carroll Parish, Louisiana",3646,3221,49,212,3270,0.8969,0.0581,9000,900,8124.39
"West Feliciana Parish, Louisiana",5491,4807,260,263,5067,0.9228,0.0479,9000,900,8348.31
"Winn Parish, Louisiana",4815,3876,154,298,4030,0.837,0.0619,9000,900,7588.71
"Androscoggin County, Maine",54870,40675,2102,5010,42777,0.7796,0.0913,9000,900,7098.57
"Aroostook County, Maine",28310,22322,803,2563,23125,0.8168,0.0905,9000,900,7432.65
"Cumberland County, Maine",166365,109055,4136,12216,113191,0.6804,0.0734,9000,900,6189.66
"Franklin County, Maine",13673,9944,385,1182,10329,0.7554,0.0864,9000,900,6876.36
"Hancock County, Maine",27196,18894,624,3267,19518,0.7177,0.1201,9000,900,6567.39
"Kennebec County, Maine",59745,44877,1707,4182,46584,0.7797,0.07,9000,900,7080.3
"Knox County, Maine",18800,13049,471,1807,13520,0.7191,0.0961,9000,900,6558.39
"Lincoln County, Maine",16525,12456,242,1571,12698,0.7684,0.0951,9000,900,7001.19
"Oxford County, Maine",26208,20208,637,2112,20845,0.7954,0.0806,9000,900,7231.14
"Penobscot County, Maine",72714,55183,2471,5700,57654,0.7929,0.0784,9000,900,7206.66
"Piscataquis County, Maine",7246,5541,96,690,5637,0.7779,0.0952,9000,900,7086.78
"Sagadahoc County, Maine",18333,13971,406,1216,14377,0.7842,0.0663,9000,900,7117.47
"Somerset County, Maine",22172,17064,704,2095,17768,0.8014,0.0945,9000,900,7297.65
"Waldo County, Maine",18401,13293,520,1358,13813,0.7507,0.0738,9000,900,6822.72
"Washington County, Maine",12388,9310,269,1286,9579,0.7732,0.1038,9000,900,7052.22
"York County, Maine",111708,81730,2911,9080,84641,0.7577,0.0813,9000,900,6892.47
"Allegany County, Maryland",25431,20214,854,1971,21068,0.8284,0.0775,9000,900,7525.35
"Anne Arundel County, Maryland",309457,223183,6663,20338,229846,0.7427,0.0657,9000,900,6743.43
"Baltimore County, Maryland",421075,300764,8823,32797,309587,0.7352,0.0779,9000,900,6686.91
"Calvert County, Maryland",48555,36054,1305,2782,37359,0.7694,0.0573,9000,900,6976.17
