County,Car_Share,Transit_Share,avg_vehicles_per_household,scaled_car_cost,Transit_Cost,Transportation_Cost,Assigned_Transit_Cost.x,Assigned_Transit_Cost.y
"Manassas Park city, Virginia",0.7122,0.1344,1.87,16830,900,12107.29,NA,NA
"Martinsville city, Virginia",0.8373,0.1177,2.16,19440,900,16383.04,NA,NA
"Newport News city, Virginia",0.7635,0.0866,2.26,20340,900,15607.53,NA,NA
"Norfolk city, Virginia",0.737,0.0939,2.31,20790,900,15406.74,600,600
"Norton city, Virginia",0.7058,0.1572,2.39,21510,900,15323.24,NA,NA
"Petersburg city, Virginia",0.7521,0.0933,2.4,21600,900,16329.33,NA,NA
"Poquoson city, Virginia",0.8536,0.0396,1.88,16920,900,14478.55,NA,NA
"Portsmouth city, Virginia",0.7414,0.1186,2.18,19620,900,14653.01,NA,NA
"Radford city, Virginia",0.8616,0.0653,2.03,18270,900,15800.2,NA,NA
"Richmond city, Virginia",0.6652,0.078,2.34,21060,900,14079.31,0,0
"Roanoke city, Virginia",0.7807,0.0729,2.27,20430,900,16015.31,360,360
"Salem city, Virginia",0.7892,0.0706,2.09,18810,900,14908.39,NA,NA
"Staunton city, Virginia",0.8027,0.0881,2.16,19440,900,15683.78,120,120
"Suffolk city, Virginia",0.8411,0.0654,1.99,17910,900,15122.96,NA,NA
"Virginia Beach city, Virginia",0.7761,0.0748,2.03,18270,900,14246.67,NA,NA
"Waynesboro city, Virginia",0.7727,0.1103,2.2,19800,900,15398.73,NA,NA
"Williamsburg city, Virginia",0.6181,0.06,2.05,18450,900,11457.94,NA,NA
"Winchester city, Virginia",0.7466,0.0878,2.3,20700,900,15533.64,NA,NA
