County,1 Adult (19-50),2 Adults (19-50),"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult 65+,2 Adults 65+
"Portsmouth city, Virginia",1037.92,2075.84,1037.92,2075.84,311.38,622.75
"Radford city, Virginia",1119.18,2238.36,1119.18,2238.36,335.75,671.51
"Richmond city, Virginia",997.28,1994.57,997.28,1994.57,299.19,598.37
"Roanoke city, Virginia",1134.42,2268.84,1134.42,2268.84,340.33,680.65
"Salem city, Virginia",1056.01,2112.02,1056.01,2112.02,316.8,633.61
"Staunton city, Virginia",1110.93,2221.87,1110.93,2221.87,333.28,666.56
"Suffolk city, Virginia",1071.21,2142.42,1071.21,2142.42,321.36,642.73
"Virginia Beach city, Virginia",1009.14,2018.28,1009.14,2018.28,302.74,605.48
"Waynesboro city, Virginia",1090.74,2181.49,1090.74,2181.49,327.22,654.45
"Williamsburg city, Virginia",811.6,1623.21,811.6,1623.21,243.48,486.96
"Winchester city, Virginia",1100.3,2200.6,1100.3,2200.6,330.09,660.18
