County,Transportation_Cost,1 Adult (19–50),2 Adults (19–50),"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult 65+,2 Adults 65+,
"Fredericksburg city, Virginia",14651.75,1220.98,2441.96,1220.98,2441.96,610.49,1220.98,
"Galax city, Virginia",16468.22,1372.35,2744.7,1372.35,2744.7,686.18,1372.35,
"Hampton city, Virginia",15544.4,1295.37,2590.73,1295.37,2590.73,647.68,1295.37,
"Harrisonburg city, Virginia",13113.94,1092.83,2185.66,1092.83,2185.66,546.41,1092.83,
"Hopewell city, Virginia",14921.8,1243.48,2486.97,1243.48,2486.97,621.74,1243.48,
"Lexington city, Virginia",11276.91,939.74,1879.48,939.74,1879.48,469.87,939.74,
"Lynchburg city, Virginia",14532.66,1211.06,2422.11,1211.06,2422.11,605.53,1211.06,
"Manassas city, Virginia",12197.4,1016.45,2032.9,1016.45,2032.9,508.22,1016.45,
"Manassas Park city, Virginia",12107.29,1008.94,2017.88,1008.94,2017.88,504.47,1008.94,
"Martinsville city, Virginia",16383.04,1365.25,2730.51,1365.25,2730.51,682.63,1365.25,
"Newport News city, Virginia",15607.53,1300.63,2601.26,1300.63,2601.26,650.31,1300.63,
"Norfolk city, Virginia",15406.74,1283.89,2567.79,1283.89,2567.79,641.95,1283.89,
"Norton city, Virginia",15323.24,1276.94,2553.87,1276.94,2553.87,638.47,1276.94,
"Petersburg city, Virginia",16329.33,1360.78,2721.55,1360.78,2721.55,680.39,1360.78,
"Poquoson city, Virginia",14478.55,1206.55,2413.09,1206.55,2413.09,603.27,1206.55,
"Portsmouth city, Virginia",14653.01,1221.08,2442.17,1221.08,2442.17,610.54,1221.08,
"Radford city, Virginia",15800.2,1316.68,2633.37,1316.68,2633.37,658.34,1316.68,
"Richmond city, Virginia",14079.31,1173.28,2346.55,1173.28,2346.55,586.64,1173.28,
"Roanoke city, Virginia",16015.31,1334.61,2669.22,1334.61,2669.22,667.3,1334.61,
"Salem city, Virginia",14908.39,1242.37,2484.73,1242.37,2484.73,621.18,1242.37,
"Staunton city, Virginia",15683.78,1306.98,2613.96,1306.98,2613.96,653.49,1306.98,
"Suffolk city, Virginia",15122.96,1260.25,2520.49,1260.25,2520.49,630.12,1260.25,
"Virginia Beach city, Virginia",14246.67,1187.22,2374.45,1187.22,2374.45,593.61,1187.22,
"Waynesboro city, Virginia",15398.73,1283.23,2566.46,1283.23,2566.46,641.61,1283.23,
"Williamsburg city, Virginia",11457.94,954.83,1909.66,954.83,1909.66,477.41,954.83,
"Winchester city, Virginia",15533.64,1294.47,2588.94,1294.47,2588.94,647.24,1294.47,
