County,1 Adult (19-50),2 Adults (19-50),"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult 65+,2 Adults 65+
Sussex,1218.84,2437.69,1218.84,2437.69,609.42,1218.84
Tazewell,1226.14,2452.28,1226.14,2452.28,613.07,1226.14
Virginia Beach,1187.22,2374.45,1187.22,2374.45,593.61,1187.22
Warren,1088.47,2176.94,1088.47,2176.94,544.24,1088.47
Washington,1272.89,2545.78,1272.89,2545.78,636.44,1272.89
Waynesboro,1283.23,2566.46,1283.23,2566.46,641.61,1283.23
Westmoreland,1096.3,2192.59,1096.3,2192.59,548.15,1096.3
Williamsburg,954.83,1909.66,954.83,1909.66,477.41,954.83
Winchester,1294.47,2588.94,1294.47,2588.94,647.24,1294.47
Wise,1228.74,2457.48,1228.74,2457.48,614.37,1228.74
Wythe,1293.35,2586.7,1293.35,2586.7,646.68,1293.35
York,1112.44,2224.88,1112.44,2224.88,556.22,1112.44
